,Subject,Predicate,Object,SubjectTerm,PredicateTerm,ObjectTerm,Domain,Domain Version
0,http://purl.org/iot/vocab/m3-lite#Hour,http://www.w3.org/2000/01/rdf-schema#label,Hour,Hour,label,Hour,lov_fiesta-iot,v1-0-2
1,http://purl.org/iot/vocab/m3-lite#Microvolt,http://www.w3.org/2000/01/rdf-schema#label,Microvolt (uV),Microvolt,label,Microvolt (uV),lov_fiesta-iot,v1-0-2
2,http://purl.org/iot/vocab/m3-lite#MinuteTime,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://purl.org/iot/vocab/m3-lite#SecondTime,MinuteTime,subClassOf,SecondTime,lov_fiesta-iot,v1-0-2
3,http://purl.org/iot/vocab/m3-lite#BloodPressureSensor,http://www.w3.org/2000/01/rdf-schema#subClassOf,ub350bL887C26,BloodPressureSensor,subClassOf,ub350bL887C26,lov_fiesta-iot,v1-0-2
4,ub350bL3103C26,http://www.w3.org/2002/07/owl#someValuesFrom,http://purl.org/iot/vocab/m3-lite#BuildingAutomation,ub350bL3103C26,someValuesFrom,BuildingAutomation,lov_fiesta-iot,v1-0-2
5,http://purl.org/iot/vocab/m3-lite#hasSoundSource,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#ObjectProperty,hasSoundSource,type,ObjectProperty,lov_fiesta-iot,v1-0-2
6,http://purl.org/iot/vocab/m3-lite#Dimensionless,http://www.w3.org/2000/01/rdf-schema#label,Dimensionless,Dimensionless,label,Dimensionless,lov_fiesta-iot,v1-0-2
7,ub350bL1902C30,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Restriction,ub350bL1902C30,type,Restriction,lov_fiesta-iot,v1-0-2
8,http://purl.org/iot/vocab/m3-lite#Ohm,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://purl.org/NET/ssnx/qu/qu#Unit,Ohm,subClassOf,Unit,lov_fiesta-iot,v1-0-2
9,http://purl.org/iot/vocab/m3-lite#DewPoint,http://www.w3.org/2000/01/rdf-schema#label,Dew Point,DewPoint,label,Dew Point,lov_fiesta-iot,v1-0-2
10,http://purl.org/iot/vocab/m3-lite#TouchSensor,http://www.w3.org/2000/01/rdf-schema#label,Touch Sensor,TouchSensor,label,Touch Sensor,lov_fiesta-iot,v1-0-2
11,http://purl.org/iot/vocab/m3-lite#Shower,http://www.w3.org/2000/01/rdf-schema#comment,An actuator to automatically switch on/off the shower.,Shower,comment,off the shower.,lov_fiesta-iot,v1-0-2
12,http://purl.org/iot/vocab/m3-lite#DiastolicBloodPressure,http://www.w3.org/2000/01/rdf-schema#comment, Measure of the pressure in the arteries when the heart rests between beats.,DiastolicBloodPressure,comment, Measure of the pressure in the arteries when the heart rests between beats.,lov_fiesta-iot,v1-0-2
13,http://purl.oclc.org/NET/ssnx/ssn#Device,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://www.w3.org/2005/Incubator/ssn/wiki/SSN_Device#Device,Device,seeAlso,Device,lov_fiesta-iot,v1-0-2
14,ub350bL625C26,http://www.w3.org/2002/07/owl#someValuesFrom,http://purl.org/iot/vocab/m3-lite#Health,ub350bL625C26,someValuesFrom,Health,lov_fiesta-iot,v1-0-2
15,http://purl.org/iot/vocab/m3-lite#WindChillSensor,http://www.w3.org/2000/01/rdf-schema#comment,Device used to detect Wind Chill.,WindChillSensor,comment,Device used to detect Wind Chill.,lov_fiesta-iot,v1-0-2
16,http://purl.org/iot/vocab/m3-lite#Milliwatt,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class,Milliwatt,type,Class,lov_fiesta-iot,v1-0-2
17,http://www.w3.org/2003/01/geo/wgs84_pos#Point,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class,Point,type,Class,lov_fiesta-iot,v1-0-2
18,http://purl.org/iot/vocab/m3-lite#Boiler,http://www.w3.org/2000/01/rdf-schema#comment,An actuator to automatically switch on/off the boiler.,Boiler,comment,off the boiler.,lov_fiesta-iot,v1-0-2
19,http://purl.org/iot/vocab/m3-lite#Pressure,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://archive.knoesis.org/research/semsci/application_domain/sem_sensor/ont/sensor-observation.owlPressureProperty,Pressure,seeAlso,sensor-observation.owlPressureProperty,lov_fiesta-iot,v1-0-2
20,http://purl.org/iot/vocab/m3-lite#ElectricField2100MHz,http://www.w3.org/2000/01/rdf-schema#comment,A field of force associated with a moving electric charge equivalent to an electric field and a magnetic field at right angles to each other and to the direction of propagation. Applied to the 2100 MHz UHF band.,ElectricField2100MHz,comment,A field of force associated with a moving electric charge equivalent to an electric field and a magnetic field at right angles to each other and to the direction of propagation. Applied to the 2100 MHz UHF band.,lov_fiesta-iot,v1-0-2
21,http://purl.org/iot/vocab/m3-lite#CoffeeMachine,http://www.w3.org/2000/01/rdf-schema#subClassOf,ub350bL1602C26,CoffeeMachine,subClassOf,ub350bL1602C26,lov_fiesta-iot,v1-0-2
22,http://purl.org/iot/vocab/m3-lite#Health,http://www.w3.org/2000/01/rdf-schema#label,Health Care DOI,Health,label,Health Care DOI,lov_fiesta-iot,v1-0-2
23,http://purl.org/iot/vocab/m3-lite#Meter,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://data.qudt.org/qudt/owl/1.0.0/unit.owl#Meter,Meter,seeAlso,Meter,lov_fiesta-iot,v1-0-2
24,http://purl.org/iot/vocab/m3-lite#RoomTemperature,http://www.w3.org/2000/01/rdf-schema#comment,Temperature of a room.,RoomTemperature,comment,Temperature of a room.,lov_fiesta-iot,v1-0-2
25,http://www.onem2m.org/ontology/Base_Ontology/base_ontology#OperationOutput,http://www.w3.org/2000/01/rdf-schema#label,Operiation Output,OperationOutput,label,Operiation Output,lov_fiesta-iot,v1-0-2
26,http://purl.org/iot/vocab/m3-lite#Lumen,http://www.w3.org/2000/01/rdf-schema#label,Lumen (lm),Lumen,label,Lumen (lm),lov_fiesta-iot,v1-0-2
27,http://purl.org/iot/vocab/m3-lite#KilobitsPerSecond,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class,KilobitsPerSecond,type,Class,lov_fiesta-iot,v1-0-2
28,http://purl.org/iot/vocab/m3-lite#DirectionHeading,http://www.w3.org/2000/01/rdf-schema#label,Direction Heading,DirectionHeading,label,Direction Heading,lov_fiesta-iot,v1-0-2
29,http://purl.oclc.org/NET/ssnx/ssn#hasDeployment,http://www.w3.org/2000/01/rdf-schema#range,http://purl.oclc.org/NET/ssnx/ssn#Deployment,hasDeployment,range,Deployment,lov_fiesta-iot,v1-0-2
30,http://purl.org/iot/vocab/m3-lite#Environment,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://purl.org/iot/vocab/m3-lite#DomainOfInterest,Environment,subClassOf,DomainOfInterest,lov_fiesta-iot,v1-0-2
31,http://purl.org/iot/vocab/m3-lite#ProximitySensor,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class,ProximitySensor,type,Class,lov_fiesta-iot,v1-0-2
32,http://purl.org/iot/vocab/m3-lite#SnowChains,http://www.w3.org/2000/01/rdf-schema#subClassOf,ub350bL520C26,SnowChains,subClassOf,ub350bL520C26,lov_fiesta-iot,v1-0-2
33,http://purl.oclc.org/NET/UNIS/fiware/iot-lite#Coverage,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class,Coverage,type,Class,lov_fiesta-iot,v1-0-2
34,http://purl.org/iot/vocab/m3-lite#RecognizedActivity,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://purl.org/NET/ssnx/qu/qu#QuantityKind,RecognizedActivity,subClassOf,QuantityKind,lov_fiesta-iot,v1-0-2
35,http://purl.org/iot/vocab/m3-lite#Hydrophone,http://www.w3.org/2000/01/rdf-schema#comment,A hydrophone is a microphone designed to be used underwater for recording or listening to underwater sound.,Hydrophone,comment,A hydrophone is a microphone designed to be used underwater for recording or listening to underwater sound.,lov_fiesta-iot,v1-0-2
36,http://purl.org/iot/vocab/m3-lite#ChemicalAgentAtmosphericConcentration,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class,ChemicalAgentAtmosphericConcentration,type,Class,lov_fiesta-iot,v1-0-2
37,http://purl.org/iot/vocab/m3-lite#ElectricalSensor,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://purl.oclc.org/NET/ssnx/ssn#SensingDevice,ElectricalSensor,subClassOf,SensingDevice,lov_fiesta-iot,v1-0-2
38,http://purl.org/iot/vocab/m3-lite#VehicleCountSensor,http://www.w3.org/2000/01/rdf-schema#label,Vehicle Count Sensor,VehicleCountSensor,label,Vehicle Count Sensor,lov_fiesta-iot,v1-0-2
39,http://purl.org/iot/vocab/m3-lite#WindSpeedSensor,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class,WindSpeedSensor,type,Class,lov_fiesta-iot,v1-0-2
40,ub350bL1563C30,http://www.w3.org/2002/07/owl#onProperty,http://purl.oclc.org/NET/ssnx/ssn#madeObservation,ub350bL1563C30,onProperty,madeObservation,lov_fiesta-iot,v1-0-2
41,http://purl.org/iot/vocab/m3-lite#FuelConsumptionInstantaneous,http://www.w3.org/2000/01/rdf-schema#comment,A measure that displays the instantaneous fuel consumption of a vehicle during its operation.,FuelConsumptionInstantaneous,comment,A measure that displays the instantaneous fuel consumption of a vehicle during its operation.,lov_fiesta-iot,v1-0-2
42,http://purl.org/NET/ssnx/qu/qu#QuantityKind,http://www.w3.org/2002/07/owl#equivalentClass,http://www.onem2m.org/ontology/Base_Ontology/base_ontology#ThingProperty,QuantityKind,equivalentClass,ThingProperty,lov_fiesta-iot,v1-0-2
43,http://purl.org/iot/vocab/m3-lite#MagneticField,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class,MagneticField,type,Class,lov_fiesta-iot,v1-0-2
44,ub350bL1563C30,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Restriction,ub350bL1563C30,type,Restriction,lov_fiesta-iot,v1-0-2
45,http://purl.org/iot/vocab/m3-lite#LocationQK,http://www.w3.org/2000/01/rdf-schema#label,Location Quantity Kind,LocationQK,label,Location Quantity Kind,lov_fiesta-iot,v1-0-2
46,http://purl.org/iot/vocab/m3-lite#GramPerCubicMetre,http://www.w3.org/2000/01/rdf-schema#label,Gram Per Cubic Metre,GramPerCubicMetre,label,Gram Per Cubic Metre,lov_fiesta-iot,v1-0-2
47,http://www.w3.org/2003/01/geo/wgs84_pos#Point,http://www.w3.org/2003/01/geo/wgs84_pos#lat,,Point,lat,,lov_fiesta-iot,v1-0-2
48,ub350bL2581C26,http://www.w3.org/2002/07/owl#someValuesFrom,http://purl.org/iot/vocab/m3-lite#BuildingAutomation,ub350bL2581C26,someValuesFrom,BuildingAutomation,lov_fiesta-iot,v1-0-2
49,http://purl.oclc.org/NET/UNIS/fiware/iot-lite#isSubSystemOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#ObjectProperty,isSubSystemOf,type,ObjectProperty,lov_fiesta-iot,v1-0-2
50,ub350bL1897C30,http://www.w3.org/2002/07/owl#qualifiedCardinality,1,ub350bL1897C30,qualifiedCardinality,1,lov_fiesta-iot,v1-0-2
