,Subject,Predicate,Object,SubjectTerm,PredicateTerm,ObjectTerm,Domain,Domain Version
24,http://purl.org/iot/vocab/m3-lite#RoomTemperature,http://www.w3.org/2000/01/rdf-schema#comment,Temperature of a room.,RoomTemperature,comment,Temperature of a room.,lov_fiesta-iot,v1-0-2
75,http://purl.org/iot/vocab/m3-lite#AirTemperature,http://www.w3.org/2000/01/rdf-schema#label,"Air Temperature, Weather Temperature, Ambient Temperature",AirTemperature,label,"Air Temperature, Weather Temperature, Ambient Temperature",lov_fiesta-iot,v1-0-2
85,http://www.onem2m.org/ontology/Base_Ontology/base_ontology#ThingProperty,http://www.w3.org/2000/01/rdf-schema#comment,"A Value (Class: Value) denotes a property of a Thing. A Value can e.g. be observed or influenced by devices, or it constitutes static data about a Thing.
E.g. the indoor temperature of the room could be a Value of a Thing ""room"".
A Value of a thing can concern a certain Aspect, e.g. the indoor temperature concerns the Aspect ""Temperature"" that could be measured by a temperature sensor.
A Value of a Thing can have meta data",ThingProperty,comment,"A Value (Class: Value) denotes a property of a Thing. A Value can e.g. be observed or influenced by devices, or it constitutes static data about a Thing.
E.g. the indoor temperature of the room could be a Value of a Thing ""room"".
A Value of a thing can concern a certain Aspect, e.g. the indoor temperature concerns the Aspect ""Temperature"" that could be measured by a temperature sensor.
A Value of a Thing can have meta data",lov_fiesta-iot,v1-0-2
96,http://purl.org/iot/vocab/m3-lite#AirTemperature,http://www.w3.org/2000/01/rdf-schema#comment,The temperature of the air that would be indicated by a thermometer exposed to the air at a location sheltered from direct solar radiation.,AirTemperature,comment,The temperature of the air that would be indicated by a thermometer exposed to the air at a location sheltered from direct solar radiation.,lov_fiesta-iot,v1-0-2
141,http://www.onem2m.org/ontology/Base_Ontology/base_ontology#Thing,http://www.w3.org/2000/01/rdf-schema#comment,"A Thing in oneM2M  (Class: Thing) is an entity that can be identified in the oneM2M System. 
A Thing that is not a Device is not able to conmmunicate electronically with its environment. However, the sub-class of Thing that is able to interact electronically is called a ""Device"".
A Thing may have ThingProperties (Object Property: hasThingProperty). A Thing can have relations to other things (Object Property: hasThingRelation).
Since a Thing that is not a Device is not able to conmmunicate electronically it cannot influence the value of its ThingProperties or being influenced by it. Similarly a Thing cannot document its - real-world - relationships (via hasThingRelation) to other Things.

E.g. A room that is modelled in oneM2M would be a Thing that could have a room-temperature as a ThingProperty and could have a relationship ""isAdjacentTo"" to another room",Thing,comment,"A Thing in oneM2M  (Class: Thing) is an entity that can be identified in the oneM2M System. 
A Thing that is not a Device is not able to conmmunicate electronically with its environment. However, the sub-class of Thing that is able to interact electronically is called a ""Device"".
A Thing may have ThingProperties (Object Property: hasThingProperty). A Thing can have relations to other things (Object Property: hasThingRelation).
Since a Thing that is not a Device is not able to conmmunicate electronically it cannot influence the value of its ThingProperties or being influenced by it. Similarly a Thing cannot document its - real-world - relationships (via hasThingRelation) to other Things.

E.g. A room that is modelled in oneM2M would be a Thing that could have a room-temperature as a ThingProperty and could have a relationship ""isAdjacentTo"" to another room",lov_fiesta-iot,v1-0-2
201,http://purl.org/iot/vocab/m3-lite#HouseholdApplianceTemperature,http://www.w3.org/2000/01/rdf-schema#label,Household Appliance Temperature,HouseholdApplianceTemperature,label,Household Appliance Temperature,lov_fiesta-iot,v1-0-2
236,http://purl.org/iot/vocab/m3-lite#TemperatureEngine,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://purl.org/iot/vocab/m3-lite#Temperature,TemperatureEngine,subClassOf,Temperature,lov_fiesta-iot,v1-0-2
241,http://purl.org/iot/vocab/m3-lite#WaterTemperature,http://www.w3.org/2000/01/rdf-schema#comment,Sea surface temperature (SST) is the water temperature close to the ocean's surface.,WaterTemperature,comment,Sea surface temperature (SST) is the water temperature close to the ocean's surface.,lov_fiesta-iot,v1-0-2
270,http://purl.org/iot/vocab/m3-lite#BodyTemperature,http://www.w3.org/2000/01/rdf-schema#label,Body Temperature,BodyTemperature,label,Body Temperature,lov_fiesta-iot,v1-0-2
288,http://purl.org/iot/vocab/m3-lite#TemperatureEngine,http://www.w3.org/2000/01/rdf-schema#label,Temperature Engine,TemperatureEngine,label,Temperature Engine,lov_fiesta-iot,v1-0-2
310,http://purl.org/iot/vocab/m3-lite#Thermometer,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://purl.oclc.org/NET/ssnx/meteo/aws#TemperatureSensor,Thermometer,seeAlso,TemperatureSensor,lov_fiesta-iot,v1-0-2
320,http://purl.org/iot/vocab/m3-lite#FoodTemperature,http://www.w3.org/2000/01/rdf-schema#comment,Measure of temperature of the food.,FoodTemperature,comment,Measure of temperature of the food.,lov_fiesta-iot,v1-0-2
353,http://purl.org/iot/vocab/m3-lite#HouseholdApplianceTemperature,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://purl.org/iot/vocab/m3-lite#Temperature,HouseholdApplianceTemperature,subClassOf,Temperature,lov_fiesta-iot,v1-0-2
384,http://purl.org/iot/vocab/m3-lite#VoltageSensor,http://www.w3.org/2000/01/rdf-schema#comment,"A device designed to respond to physical stimuli such as temperature, light, magnetism, or movement, and to transmit resulting impulses for interpretation.",VoltageSensor,comment,"A device designed to respond to physical stimuli such as temperature, light, magnetism, or movement, and to transmit resulting impulses for interpretation.",lov_fiesta-iot,v1-0-2
415,http://purl.org/iot/vocab/m3-lite#DewPointTemperature,http://www.w3.org/2000/01/rdf-schema#comment,The temperature at which dew forms and is a measure of atmospheric moisture. It is the temperature to which air must be cooled at constant pressure and water content to reach saturation. A higher dew point indicates more moisture in the air; a dew point greater than 20 Degree C (68 Degree F) is considered uncomfortable and greater than 22 Degree C (72 Degree F) is considered to be extremely humid.,DewPointTemperature,comment,The temperature at which dew forms and is a measure of atmospheric moisture. It is the temperature to which air must be cooled at constant pressure and water content to reach saturation. A higher dew point indicates more moisture in the air; a dew point greater than 20 Degree C (68 Degree F) is considered uncomfortable and greater than 22 Degree C (72 Degree F) is considered to be extremely humid.,lov_fiesta-iot,v1-0-2
426,http://purl.oclc.org/NET/UNIS/fiware/iot-lite#Attribute,http://www.w3.org/2000/01/rdf-schema#comment,"An attribute of an IoT object that can be exposed by an IoT service (i.e. a room (IoT Object) has a temperature (Attribute), that can be exposed by a temperature sensor (IoT device).",Attribute,comment,"An attribute of an IoT object that can be exposed by an IoT service (i.e. a room (IoT Object) has a temperature (Attribute), that can be exposed by a temperature sensor (IoT device).",lov_fiesta-iot,v1-0-2
430,http://purl.org/iot/vocab/m3-lite#BoardTemperature,http://www.w3.org/2000/01/rdf-schema#label,Board Temperature,BoardTemperature,label,Board Temperature,lov_fiesta-iot,v1-0-2
525,http://purl.org/iot/vocab/m3-lite#BuildingTemperature,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://purl.org/iot/vocab/m3-lite#Temperature,BuildingTemperature,subClassOf,Temperature,lov_fiesta-iot,v1-0-2
566,http://purl.oclc.org/NET/UNIS/fiware/iot-lite#isAssociatedWith,http://www.w3.org/2000/01/rdf-schema#comment,Defines the associations between objects and sensors (e.g. A table (object) has an attribute (temperature at the table) which is associated with a sensor (the temperature sensor of the room). ,isAssociatedWith,comment,Defines the associations between objects and sensors (e.g. A table (object) has an attribute (temperature at the table) which is associated with a sensor (the temperature sensor of the room). ,lov_fiesta-iot,v1-0-2
585,http://purl.org/iot/vocab/m3-lite#BoardTemperature,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://purl.org/iot/vocab/m3-lite#Temperature,BoardTemperature,subClassOf,Temperature,lov_fiesta-iot,v1-0-2
723,http://purl.org/iot/vocab/m3-lite#TemperatureWasteContainer,http://www.w3.org/2000/01/rdf-schema#label,Temperature Waste Container,TemperatureWasteContainer,label,Temperature Waste Container,lov_fiesta-iot,v1-0-2
728,http://purl.org/iot/vocab/m3-lite#AirTemperature,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://openiot.eu/ontology/ns/AirTemperature,AirTemperature,seeAlso,AirTemperature,lov_fiesta-iot,v1-0-2
894,http://purl.org/iot/vocab/m3-lite#Thermometer,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://casas.wsu.edu/owl/cose.owl#TempuratureSensor,Thermometer,seeAlso,TempuratureSensor,lov_fiesta-iot,v1-0-2
898,http://purl.org/iot/vocab/m3-lite#Kelvin,http://www.w3.org/2000/01/rdf-schema#comment,Kelvin is a unit of measurement for temperature.,Kelvin,comment,Kelvin is a unit of measurement for temperature.,lov_fiesta-iot,v1-0-2
906,http://www.onem2m.org/ontology/Base_Ontology/base_ontology#MetaData,http://www.w3.org/2000/01/rdf-schema#comment,"MetaData (Class: MetaData) contain data (like units, precision-ranges …) about a Variable or about an Aspect. 
E.g. the indoor temperature could have meta data: ""Degrees Celsius""",MetaData,comment,"MetaData (Class: MetaData) contain data (like units, precision-ranges …) about a Variable or about an Aspect. 
E.g. the indoor temperature could have meta data: ""Degrees Celsius""",lov_fiesta-iot,v1-0-2
925,http://purl.org/iot/vocab/m3-lite#TemperatureWasteContainer,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://purl.org/iot/vocab/m3-lite#Temperature,TemperatureWasteContainer,subClassOf,Temperature,lov_fiesta-iot,v1-0-2
949,http://purl.org/iot/vocab/m3-lite#RoomTemperature,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://elite.polito.it/ontologies/dogont.owl#TemperatureMeasurementMNotification,RoomTemperature,seeAlso,TemperatureMeasurementMNotification,lov_fiesta-iot,v1-0-2
962,http://purl.org/iot/vocab/m3-lite#Temperature,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://purl.oclc.org/NET/ssnx/meteo/aws#air_temperature,Temperature,seeAlso,air_temperature,lov_fiesta-iot,v1-0-2
984,http://purl.oclc.org/NET/UNIS/fiware/iot-lite#hasUnit,http://www.w3.org/2000/01/rdf-schema#comment,Links the sensor with the units of the quantity kind it measures (e.g. A sensor -sensor1- measures temperature in Celsius: senso1 hasUnit celsius).,hasUnit,comment,Links the sensor with the units of the quantity kind it measures (e.g. A sensor -sensor1- measures temperature in Celsius: senso1 hasUnit celsius).,lov_fiesta-iot,v1-0-2
1001,http://purl.org/iot/vocab/m3-lite#AirThermometer,http://www.w3.org/2000/01/rdf-schema#comment,Device to measure the Air temperature of either indoor or outdoor atmosphere.,AirThermometer,comment,Device to measure the Air temperature of either indoor or outdoor atmosphere.,lov_fiesta-iot,v1-0-2
1010,http://purl.org/iot/vocab/m3-lite#RoomTemperature,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://purl.org/iot/vocab/m3-lite#BuildingTemperature,RoomTemperature,subClassOf,BuildingTemperature,lov_fiesta-iot,v1-0-2
1158,http://purl.org/iot/vocab/m3-lite#AirTemperature,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://purl.org/iot/vocab/m3-lite#Temperature,AirTemperature,subClassOf,Temperature,lov_fiesta-iot,v1-0-2
1173,http://purl.org/iot/vocab/m3-lite#DewPoint,http://www.w3.org/2000/01/rdf-schema#comment,It is the temperature to which air must be cooled at constant pressure to condense to form liquid.,DewPoint,comment,It is the temperature to which air must be cooled at constant pressure to condense to form liquid.,lov_fiesta-iot,v1-0-2
1174,http://purl.org/iot/vocab/m3-lite#DewPointTemperature,http://www.w3.org/2000/01/rdf-schema#label,Dew Point Temperature,DewPointTemperature,label,Dew Point Temperature,lov_fiesta-iot,v1-0-2
1192,http://purl.org/iot/vocab/m3-lite#Temperature,http://www.w3.org/2000/01/rdf-schema#comment,It is the air temperature.,Temperature,comment,It is the air temperature.,lov_fiesta-iot,v1-0-2
1196,http://purl.org/iot/vocab/m3-lite#RoomTemperature,http://www.w3.org/2000/01/rdf-schema#label,Room Temperature,RoomTemperature,label,Room Temperature,lov_fiesta-iot,v1-0-2
1223,http://purl.org/iot/vocab/m3-lite#BuildingTemperature,http://www.w3.org/2000/01/rdf-schema#comment,Measure of building or room temperature.,BuildingTemperature,comment,Measure of building or room temperature.,lov_fiesta-iot,v1-0-2
1229,http://purl.org/iot/vocab/m3-lite#BodyTemperature,http://www.w3.org/2000/01/rdf-schema#comment,Measure of body temperature.,BodyTemperature,comment,Measure of body temperature.,lov_fiesta-iot,v1-0-2
1256,http://purl.org/iot/vocab/m3-lite#RoadTemperature,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://purl.org/iot/vocab/m3-lite#Temperature,RoadTemperature,subClassOf,Temperature,lov_fiesta-iot,v1-0-2
1268,http://purl.org/iot/vocab/m3-lite#BuildingTemperature,http://www.w3.org/2000/01/rdf-schema#label,Building/Room Temperature,BuildingTemperature,label,Room Temperature,lov_fiesta-iot,v1-0-2
1287,http://purl.org/iot/vocab/m3-lite#FoodTemperature,http://www.w3.org/2000/01/rdf-schema#label,Food Temperature,FoodTemperature,label,Food Temperature,lov_fiesta-iot,v1-0-2
1296,http://purl.org/iot/vocab/m3-lite#HouseholdApplianceTemperature,http://www.w3.org/2000/01/rdf-schema#comment,Measure of Household Appliance Temperature.,HouseholdApplianceTemperature,comment,Measure of Household Appliance Temperature.,lov_fiesta-iot,v1-0-2
1316,http://purl.org/iot/vocab/m3-lite#RoadSurfaceThermometer,http://www.w3.org/2000/01/rdf-schema#comment,Device used to measure the road Surface temperature.,RoadSurfaceThermometer,comment,Device used to measure the road Surface temperature.,lov_fiesta-iot,v1-0-2
1340,http://purl.org/iot/vocab/m3-lite#BodyThermometer,http://www.w3.org/2000/01/rdf-schema#comment,Device used to measure body temperature.,BodyThermometer,comment,Device used to measure body temperature.,lov_fiesta-iot,v1-0-2
1416,http://purl.org/iot/vocab/m3-lite#RoomTemperature,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://sensormeasurement.appspot.com/home#RoomTemperature,RoomTemperature,seeAlso,RoomTemperature,lov_fiesta-iot,v1-0-2
